name,id,name,title,sub_task_id,add_task_id,create_user,create_time,update_time,update_user
走路赚钱走路赠送,32,走路赚钱走路赠送,走路赚钱走路赠送,0,30,admin,1571107619,2019/10/15 10:29,admin
走路赚钱建筑收益,33,走路赚钱建筑收益,走路赚钱建筑收益,0,30,admin,1571107619,2019/10/15 10:29,admin
走路赚钱奇观收益,34,走路赚钱奇观收益,走路赚钱奇观收益,0,30,admin,1571107619,2019/10/15 10:29,admin
星球移植小游戏获取金币,35,星球移植小游戏获取金币,星球移植小游戏获取金币,0,0,admin,1571107619,2019/10/15 10:29,admin
向前吧企鹅获取金币,36,向前吧企鹅获取金币,向前吧企鹅获取金币,0,6,admin,1571107619,2019/10/15 10:29,admin
向上吧萌萌猫获取金币,37,向上吧萌萌猫获取金币,向上吧萌萌猫获取金币,0,5,admin,1571107619,2019/10/15 10:29,admin
僵尸哪里逃获取金币,38,僵尸哪里逃获取金币,僵尸哪里逃获取金币,0,31,admin,1571107619,2019/10/15 10:29,admin
旅行消消乐获取金币,39,旅行消消乐获取金币,旅行消消乐获取金币,0,32,admin,1571107619,2019/10/15 10:29,admin
走路赚钱激励视频获取金币,40,走路赚钱激励视频获取金币,走路赚钱激励视频获取金币,0,30,admin,1571107619,2019/10/15 10:33,admin
新人七天礼包奖励金币,41,新人七天礼包奖励金币,新人七天礼包奖励金币,0,35,admin,1571107619,2019/10/16 15:44,admin
走路赚钱-早起打卡报名花费金币,42,走路赚钱-早起打卡报名花费金币,走路赚钱-早起打卡报名花费金币,36,30,admin,1571913123,2019/10/24 18:32,admin
走路赚钱-早起打卡瓜分获得金币,43,走路赚钱-早起打卡瓜分获得金币,走路赚钱-早起打卡瓜分获得金币,0,30,admin,1571913157,2019/10/24 18:32,admin
果园魅力值奖励获取金币,44,果园魅力值奖励获取金币,魅力值奖励获取金币,0,38,admin,0,2019/11/13 11:13,
宠物完成喂食获取金币,45,宠物完成喂食获取金币,宠物喂食获取金币,0,38,,0,2019/11/13 13:27,
星球果园签到奖励金币,46,星球果园签到奖励金币,星球果园签到奖励金币,0,18,,0,2019/11/18 15:18,
果园等级福袋奖励获取金币,47,果园等级福袋奖励获取金币,等级福袋奖励获取金币,0,38,,0,2019/12/9 18:22,
宠物等级福袋奖励,48,宠物等级福袋奖励,宠物等级福袋奖励,0,38,admin,1577670846,2019/12/30 9:54,1577670846
走路赚钱计步双倍金币,50,走路赚钱计步双倍金币,走路赚钱计步双倍金币,0,30,李亮,1576634718,2019/12/18 10:05,李亮
走路赚钱幸运金币,51,走路赚钱幸运金币,走路赚钱幸运金币,0,30,李亮,1576634745,2019/12/18 10:05,李亮
走路赚钱幸运双倍金币,52,走路赚钱幸运双倍金币,走路赚钱幸运双倍金币,0,30,李亮,1576634765,2019/12/18 10:06,李亮
走路赚钱步数兑换金币,53,走路赚钱步数兑换金币,走路赚钱步数兑换金币,0,30,李亮,1576634785,2019/12/18 10:06,李亮
斗地主新手场胜利金币,54,斗地主新手场胜利金币,斗地主新手场胜利金币,0,16,李亮,1577763833,2019/12/31 11:43,李亮
斗地主新手场胜利激励视频金币,55,斗地主新手场胜利激励视频金币,斗地主新手场胜利激励视频金币,0,16,李亮,1577763857,2019/12/31 11:44,李亮
血流麻将胜利激励视频金币,56,血流麻将胜利激励视频金币,血流麻将胜利激励视频金币,0,33,,0,2020/1/14 13:18,
鱼塘钓鱼获取金币,57,鱼塘钓鱼获取金币,鱼塘钓鱼获取金币,0,41,,0,2020/2/18 15:54,
鱼塘收获鱼苗获取金币,58,鱼塘收获鱼苗获取金币,鱼塘收获鱼苗获取金币,0,41,,0,2020/2/18 15:55,
上报用户种树任务至星球,59,上报用户种树任务至星球,上报用户种树任务至星球,0,42,,0,2020/2/21 9:49,
小游戏时长任务上报星球-成语大官人,60,小游戏时长任务上报星球-成语大官人,小游戏时长任务上报星球-成语大官人,0,41,陈超,1582697936,2020/2/26 14:18,陈超
小游戏时长任务上报星球-水果忍者必须死,61,小游戏时长任务上报星球-水果忍者必须死,小游戏时长任务上报星球-水果忍者必须死,0,42,陈超,1582711060,2020/2/26 17:57,陈超
小游戏时长任务上报星球-星星消除王者,62,小游戏时长任务上报星球-星星消除王者,小游戏时长任务上报星球-星星消除王者,0,43,陈超,1582711077,2020/2/26 17:57,陈超
小游戏时长任务上报星球-养猪大亨,63,小游戏时长任务上报星球-养猪大亨,小游戏时长任务上报星球-养猪大亨,0,44,陈超,1582711092,2020/2/26 17:58,陈超
星球果园时段礼箱,64,星球果园时段礼箱,星球果园时段礼箱,0,18,李亮,1584668701,2020/3/20 9:45,李亮
星球果园果树点击金币,65,星球果园果树点击金币,星球果园果树点击金币,0,18,李亮,1584668751,2020/3/20 9:45,李亮
星球农场播种农作物减金币,66,星球农场播种农作物减金币,播种农作物减金币,40,0,陈超,1586844207,2020/4/14 14:03,陈超
星球农场升级增加金币,67,星球农场升级增加金币,升级增加金币,0,39,陈超,1586844226,2020/4/14 14:03,陈超
鱼塘明天礼包,68,鱼塘明天礼包,鱼塘明天礼包,0,46,徐华根,1589422833,2020/5/14 10:20,徐华根
鱼塘任务奖励,69,鱼塘任务奖励,喝水打卡奖励,0,30,徐华根,1589422895,2020/5/14 10:21,常高阳
H5游戏中心领取金币,70,H5游戏中心领取金币,H5游戏中心领取金币,0,48,陈超,1589247484,2020/5/12 9:38,李亮
新转盘抽奖金币,71,新转盘抽奖金币,新转盘抽奖金币,0,49,李亮,1590384823,2020/5/25 13:33,李亮
果园小程序签到奖励金币,72,果园小程序签到奖励金币,果园小程序签到奖励金币,0,18,徐华根,1591684570,2020/6/9 14:36,徐华根
小程序果园任务获取金币,73,小程序果园任务获取金币,小程序果园任务获取金币,0,18,徐华根,1591684686,2020/6/9 14:38,徐华根
喝水打卡奖励,74,喝水打卡奖励,喝水打卡奖励,0,30,常高阳,1592546854,2020/6/19 14:07,常高阳
喝水打卡视频奖励,75,喝水打卡视频奖励,喝水打卡视频奖励,0,30,常高阳,1592546883,2020/6/19 14:08,常高阳
庄园任务奖励,76,庄园任务奖励,庄园任务奖励,0,50,常高阳,1594347540,2020/7/10 10:19,常高阳
庄园升级类型,77,庄园升级类型,庄园升级类型,0,50,常高阳,1594347700,2020/7/10 10:21,常高阳
漂流瓶奖励,78,漂流瓶奖励,鱼塘漂流瓶奖励,0,46,徐华根,1594705046,2020/7/14 13:37,徐华根
虚拟形象服装购买,79,虚拟形象服装购买,虚拟形象服装购买,52,51,李亮,1598580067,2020/8/28 10:01,李亮
果园小程序助力邀请发金币,80,果园小程序助力邀请发金币,助力邀请发金币,0,18,陈超,1599442883,2020/9/7 9:41,陈超
果园金币兑换水果,81,果园金币兑换水果,果园金币兑换水果,17,18,陈超,1599636980,2020/9/9 15:36,陈超
果园进度条红包奖励,82,果园进度条红包奖励,果园进度条红包奖励,0,18,陈超,1603184078,2020/10/20 16:54,陈超
果园惊喜礼包,83,果园惊喜礼包,果园惊喜礼包,0,18,陈超,1603856805,2020/10/28 11:46,陈超
果园明日礼包提现,84,果园明日礼包提现,果园明日礼包提现,0,18,陈超,1603863470,2020/10/28 13:37,陈超
